Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.3851804,1.225050,9.880951,1.285050,10.039187,82.645767,82.932480
1.3898444,1.225050,9.877951,1.267950,10.034060,82.740433,82.930351
1.3945086,1.240050,9.877951,1.257000,10.034525,82.803795,82.844681
1.3991727,1.264050,9.868951,1.254000,10.028287,82.816574,82.701096
1.4038379,1.276050,9.871051,1.245000,10.030751,82.870155,82.634109
1.4085007,1.266000,9.876000,1.252050,10.035226,82.832787,82.695122
1.4131647,1.288050,9.847051,1.249050,10.009176,82.831345,82.547699
1.4178296,1.278000,9.859051,1.264050,10.021576,82.753815,82.614098
1.4224936,1.254000,9.865951,1.267950,10.025826,82.734436,82.756332
1.4271580,1.264050,9.840000,1.278000,10.002835,82.659607,82.679855
1.4318229,1.267950,9.847051,1.279950,10.010513,82.654022,82.662712
1.4364886,1.270950,9.852000,1.291950,10.017303,82.589813,82.649200
1.4411536,1.279950,9.868951,1.297050,10.035776,82.574173,82.610291
1.4458168,1.290000,9.859051,1.290000,10.026420,82.607826,82.545525
1.4504803,1.288050,9.871051,1.278000,10.036434,82.684319,82.565613
1.4551462,1.302000,9.853951,1.270950,10.020522,82.713280,82.473122
1.4598099,1.303950,9.853951,1.264050,10.019903,82.752602,82.461983
1.4644748,1.290000,9.841950,1.270950,10.007168,82.703506,82.532722
1.4691391,1.302000,9.856951,1.261050,10.022222,82.771576,82.475388
1.4738035,1.290000,9.852000,1.279950,10.018197,82.659683,82.540253
1.4784681,1.279950,9.862050,1.266000,10.025022,82.745087,82.605179
1.4831321,1.300050,9.865951,1.267950,10.031691,82.738708,82.493301
1.4877974,1.300050,9.880951,1.258950,10.045311,82.800354,82.504570
1.4924631,1.306950,9.864000,1.257000,10.029290,82.800018,82.452446
1.4971265,1.290000,9.856951,1.246950,10.018906,82.850441,82.543953
1.5017904,1.282950,9.852000,1.222950,10.010168,82.982597,82.580566
1.5064539,1.273050,9.862050,1.252050,10.022391,82.823563,82.644608
1.5111172,1.258950,9.865951,1.267950,10.026446,82.734894,82.728043
1.5157828,1.245000,9.874050,1.252050,10.030679,82.829521,82.813606
1.5204464,1.246950,9.876000,1.254000,10.033085,82.820023,82.803879
1.5251111,1.240050,9.889951,1.261050,10.046845,82.789383,82.853271
1.5297773,1.233000,9.886050,1.258950,10.041874,82.797874,82.890709
1.5344409,1.206000,9.877951,1.264050,10.031260,82.760849,83.039200
1.5391047,1.213050,9.880951,1.270950,10.035935,82.724533,83.001015
1.5437680,1.198950,9.892950,1.261050,10.044809,82.787918,83.089890
1.5484320,1.209000,9.883051,1.282950,10.039041,82.657745,83.025620
1.5530970,1.194000,9.895050,1.276050,10.048182,82.704132,83.119591
1.5577612,1.201050,9.900001,1.278000,10.054144,82.697273,83.082787
1.5624250,1.194000,9.895050,1.273050,10.047801,82.721100,83.119591
1.5670910,1.201050,9.883051,1.279950,10.037704,82.674026,83.071037
1.5717558,1.180050,9.876000,1.278000,10.028020,82.678146,83.186226
1.5764214,1.209000,9.868951,1.276050,10.024280,82.686638,83.015755
1.5810865,1.186950,9.862050,1.240050,10.010325,82.884087,83.137161
1.5857505,1.182000,9.883051,1.252050,10.031921,82.830414,83.179893
1.5904152,1.182000,9.886050,1.254000,10.035120,82.821487,83.181946
1.5950782,1.189050,9.895050,1.267950,10.046569,82.749519,83.147842
1.5997425,1.192050,9.888000,1.254000,10.038230,82.823723,83.125870
1.6044075,1.182000,9.880951,1.245000,10.028975,82.868889,83.178459
1.6090709,1.194000,9.876000,1.258950,10.027262,82.787323,83.106445
1.6137342,1.204050,9.888000,1.270950,10.041793,82.728798,83.057343
1.6183985,1.206000,9.865951,1.273050,10.020583,82.701218,83.030815
1.6230628,1.218000,9.871051,1.267950,10.026408,82.734863,82.965767
1.6277276,1.218000,9.876000,1.270950,10.031661,82.721413,82.969254
1.6323905,1.213050,9.874050,1.261050,10.027891,82.775681,82.996178
1.6370548,1.233000,9.889951,1.267950,10.046845,82.749718,82.893486
1.6417191,1.237050,9.895050,1.261050,10.051496,82.792740,82.874023
1.6463823,1.228050,9.895050,1.288050,10.053815,82.639290,82.925339
1.6510465,1.234950,9.892950,1.264050,10.049546,82.774094,82.884499
1.6557106,1.246950,9.895050,1.264050,10.053096,82.776657,82.817589
1.6603738,1.240050,9.895050,1.279950,10.054254,82.686150,82.856918
1.6650381,1.245000,9.877951,1.279950,10.038038,82.674271,82.816414
1.6697019,1.252050,9.859051,1.276050,10.019821,82.683365,82.762466
1.6743666,1.266000,9.868951,1.273050,10.030932,82.708794,82.689957
1.6790320,1.245000,9.862050,1.276050,10.021894,82.684891,82.804955
1.6836960,1.252050,9.868951,1.273050,10.029181,82.707512,82.769646
1.6883601,1.230000,9.877951,1.273050,10.035311,82.711990,82.902077
1.6930236,1.234950,9.871051,1.264050,10.027989,82.758476,82.868874
1.6976866,1.249050,9.876000,1.249050,10.032728,82.848259,82.791885
1.7023516,1.252050,9.874050,1.252050,10.031556,82.830147,82.773346
1.7070140,1.266000,9.865951,1.257000,10.025955,82.797607,82.687759
1.7116777,1.252050,9.853951,1.264050,10.013281,82.747780,82.758759
1.7163417,1.254000,9.865951,1.252050,10.023828,82.824593,82.756332
1.7210039,1.246950,9.868951,1.252050,10.025902,82.826088,82.798790
1.7256675,1.234950,9.888000,1.258950,10.044033,82.799431,82.880974
1.7303306,1.234950,9.871051,1.278000,10.029757,82.679420,82.868874
1.7349949,1.225050,9.871051,1.276050,10.028295,82.689583,82.925461
1.7396601,1.209000,9.868951,1.290000,10.026065,82.607567,83.015755
1.7443241,1.198950,9.868951,1.266000,10.021798,82.742744,83.073250
1.7489876,1.206000,9.877951,1.252050,10.029755,82.828857,83.039200
1.7536525,1.198950,9.876000,1.261050,10.028116,82.775848,83.078140
